id,level,section,question_type,question,option_a,option_b,option_c,option_d,answer,explanation
Q0001,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［複雑］",ふくつ,ふくざ,くざつ,ふくざつ,D,「複雑」の読みは「ふくざつ」。 意味: complexity。
Q0002,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［彼ら］",いっぱい,かれら,やける,がれら,B,「彼ら」の読みは「かれら」。 意味: they (usually male)。
Q0003,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［故障］",しょうする,こしょうす,こしょうする,こせいする,C,「故障」の読みは「こしょうする」。 意味: breakdown。
Q0004,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［止む］",つごう,きもち,やむ,あいだ,C,「止む」の読みは「やむ」。 意味: to cease。
Q0005,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［漫画］",まぬが,おく,おれる,まんが,D,「漫画」の読みは「まんが」。 意味: comic (book)。
Q0006,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［都合］",づごう,つごう,よやく,はなみ,B,「都合」の読みは「つごう」。 意味: circumstances。
Q0007,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［売り場］",ふべん,なくなる,なれる,うりば,D,「売り場」の読みは「うりば」。 意味: place where things are sold。
Q0008,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［教育］",こういく,ょういく,きょういく,きよういく,C,「教育」の読みは「きょういく」。 意味: education。
Q0009,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［復習］",ふくゅう,くしゅう,ふくしゅう,ふくしゅ,C,「復習」の読みは「ふくしゅう」。 意味: review (of lessons)。
Q0010,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［貿易］",ぼうえき,ぼうえ,ぼうえぎ,うえき,A,「貿易」の読みは「ぼうえき」。 意味: trade。
Q0011,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［研究室］",かんきゅうしつ,けんきうしつ,けんきゅうしつ,けんきゅうし,C,「研究室」の読みは「けんきゅうしつ」。 意味: the professor's office。
Q0012,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［開く］",びらぐ,こまかい,せい,ひらく,D,「開く」の読みは「ひらく」。 意味: to open。
Q0013,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［答］",ごだえ,なくなる,こたえ,しなもの,C,「答」の読みは「こたえ」。 意味: answer。
Q0014,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［将来］",ょうらい,せいらい,しょうら,しょうらい,D,「将来」の読みは「しょうらい」。 意味: (in the) future。
Q0015,N4,vocabulary,kanji_reading,"次の文の［　］の言葉の読み方として最もよいものを選びなさい。

［妻］",ねだん,づま,つま,せいじ,C,「妻」の読みは「つま」。 意味: wife (humble)。
